109,22,375,30,373,87,107,78
386,17,596,30,593,89,383,76
738,27,866,25,868,87,739,89
609,40,726,40,726,87,609,87
156,109,369,118,367,172,153,164
378,116,564,110,566,172,380,177
705,119,864,111,867,170,708,178
577,131,696,131,696,176,577,176
116,283,294,281,294,330,117,333
292,286,346,286,346,330,292,330
360,286,516,286,516,339,360,339
768,286,868,286,868,341,768,341
590,302,771,288,775,333,594,347
532,294,580,294,580,341,532,341
89,316,101,316,101,331,89,331
86,365,271,374,268,431,83,422
486,372,568,372,568,428,486,428
645,377,868,373,869,431,646,435
345,387,490,374,495,424,349,437
266,383,335,383,335,430,266,430
563,383,634,383,634,430,563,430
23,538,238,554,234,611,19,595
491,544,576,544,576,602,491,602
743,546,868,546,868,588,743,588
432,547,477,547,477,588,432,588
584,551,686,541,691,596,590,606
685,547,731,547,731,588,685,588
283,557,377,557,377,590,283,590
377,557,432,557,432,588,377,588
248,562,286,562,286,604,248,604
701,630,759,630,759,679,701,679
358,636,610,629,611,685,360,692
757,634,796,634,796,687,757,687
623,635,704,635,704,677,623,677
154,633,275,642,271,687,151,677
269,637,347,637,347,679,269,679
803,651,868,648,870,687,805,690
745,811,868,795,874,847,752,862
286,804,358,804,358,856,286,856
427,803,612,805,611,859,427,857
624,808,737,803,739,857,626,862
355,807,413,807,413,856,355,856
57,814,172,814,172,856,57,856
186,814,277,814,277,862,186,862
40,886,185,888,184,936,40,934
297,902,524,886,527,937,301,953
753,911,864,886,876,937,764,962
180,894,284,891,286,944,181,947
522,893,569,893,569,934,522,934
576,902,671,888,678,939,584,954
681,908,747,905,749,945,683,948
